Dis No,Year,Disaster Type
2015-9372-CUB,2015,Drought
2015-0060-DOM,2015,Flood
2015-0446-DOM,2015,Flood
2015-0375-DOM,2015,Storm
2015-0437-DZA,2015,Flood
2015-0482-DZA,2015,Flood
2015-0361-ECU,2015,Volcanic activity
2015-0550-ECU,2015,Volcanic activity
2015-0342-EGY,2015,Extreme temperature
2015-0447-ESP,2015,Flood
2015-0532-ESP,2015,Flood
2015-0548-ETH,2015,Flood
2015-9483-FJI,2015,Drought
2015-0451-FRA,2015,Flood
2015-0434-FRA,2015,Storm
2015-0410-FRA,2015,Extreme temperature
2015-0105-FSM,2015,Storm
2015-0561-GBR,2015,Flood
2015-0580-GHA,2015,Epidemic
2015-0217-GHA,2015,Flood
2015-0428-GIN,2015,Landslide
2015-0480-GIN,2015,Flood
2015-0038-GRC,2015,Flood
2015-0384-GRC,2015,Flood
2015-0446-GTM,2015,Flood
2015-0444-GTM,2015,Landslide
2015-0355-GTM,2015,Epidemic
2015-0353-GTM,2015,Flood
2015-0313-GUY,2015,Flood
2015-0465-HRV,2015,Flood
2015-0116-HTI,2015,Flood
2015-0366-HTI,2015,Epidemic
2015-0415-IDN,2015,Earthquake
2015-0036-IDN,2015,Flood
2015-0056-IDN,2015,Flood
2015-0076-IDN,2015,Flood
2015-0077-IDN,2015,Flood
2015-0181-IDN,2015,Landslide
2015-0524-IDN,2015,Landslide
2015-0112-IDN,2015,Landslide
2015-0429-IDN,2015,Wildfire
2015-0412-IDN,2015,Flood
2015-0118-IND,2015,Storm
2015-0450-IND,2015,Storm
2015-0600-IND,2015,Storm
2015-0604-IND,2015,Storm
2015-0144-IND,2015,Earthquake
2015-0175-IND,2015,Earthquake
2015-0476-IND,2015,Earthquake
2015-0207-IND,2015,Flood
2015-0249-IND,2015,Flood
2015-0226-IND,2015,Landslide
2015-0189-IND,2015,Extreme temperature
2015-9618-IND,2015,Drought
2015-0374-IND,2015,Flood
2015-0406-IND,2015,Flood
2015-0504-IND,2015,Flood
2015-0088-IRN,2015,Flood
2015-0258-IRN,2015,Flood
2015-0499-IRN,2015,Flood
2015-0438-IRN,2015,Flood
2015-0485-IRQ,2015,Flood
2015-0481-IRQ,2015,Epidemic
2015-0427-ISR,2015,Storm
2015-0532-ITA,2015,Flood
2015-0598-ITA,2015,Flood
2015-0176-JPN,2015,Storm
2015-0371-JPN,2015,Storm
2015-0458-JPN,2015,Storm
2015-0575-JPN,2015,Extreme temperature
2015-0610-JPN,2015,Extreme temperature
2015-0611-JPN,2015,Extreme temperature
2015-0154-KAZ,2015,Flood
2015-0158-KEN,2015,Flood
2015-0159-KEN,2015,Flood
2015-0564-KEN,2015,Flood
2015-0512-KGZ,2015,Earthquake
2015-0409-KOR,2015,Epidemic
2015-0324-LAO,2015,Flood
2015-0427-LBN,2015,Storm
2015-0002-LBN,2015,Storm
2015-0391-LBN,2015,Storm
2015-0530-LKA,2015,Flood
2015-0057-MDG,2015,Flood
2015-0074-MDG,2015,Storm
2015-0187-MEX,2015,Storm
2015-0382-MEX,2015,Flood
2015-9496-MHL,2015,Drought
2015-0023-MKD,2015,Flood
2015-0337-MLI,2015,Flood
2015-0118-MMR,2015,Storm
2015-0492-MMR,2015,Flood
2015-0449-MMR,2015,Landslide
2015-0455-MMR,2015,Landslide
2015-0011-MOZ,2015,Flood
2015-0368-NER,2015,Flood
2015-0200-NER,2015,Epidemic
2015-0448-NGA,2015,Flood
2015-0225-NGA,2015,Epidemic
2015-0446-NIC,2015,Flood
2015-0306-NPL,2015,Landslide
2015-0256-NZL,2015,Flood
2015-0206-NZL,2015,Flood
2015-0476-PAK,2015,Earthquake
2015-0571-PAK,2015,Earthquake
2015-0454-PAK,2015,Mass movement (dry)
2015-0215-PAK,2015,Flood
2015-0124-PAK,2015,Flood
2015-0333-PAK,2015,Flood
2015-0232-PAK,2015,Extreme temperature
2015-0288-PAK,2015,Flood
2015-0291-PAK,2015,Flood
2015-0446-PAN,2015,Flood
2015-9353-PAN,2015,Drought
2016-0395-NZL,2016,Earthquake
2016-0361-KOR,2016,Storm
2016-0336-NGA,2016,Storm
2016-0433-PAN,2016,Storm
2016-0117-ECU,2016,Earthquake
2016-0095-CHN,2016,Flood
2016-0340-CHN,2016,Storm
2016-0138-MMR,2016,Storm
2016-0137-CHN,2016,Flood
2016-0282-MKD,2016,Flood
2016-9369-CHN,2016,Drought
2016-0284-MEX,2016,Storm
2016-0211-NLD,2016,Storm
2016-0041-FJI,2016,Storm
2016-0061-MAR,2016,Extreme temperature
2016-0424-MEX,2016,Flood
2016-0246-BOL,2016,Flood
2016-0077-BRA,2016,Flood
2016-0350-CHN,2016,Storm
2016-0241-CHN,2016,Flood
2016-0423-DOM,2016,Flood
2016-0039-ECU,2016,Flood
2016-0101-ETH,2016,Flood
2016-0186-ETH,2016,Flood
2016-0407-HND,2016,Flood
2016-0356-HND,2016,Flood
2016-0418-HTI,2016,Flood
