Country Name,GDP,GDP Per Capita,Air Pollution,Population Density,Unemployment Rate,Social Support
Latvia,30064879378.0,15419.59,90.23,31.36,8.91,0.901
Lebanon,52251461613.0,8470.2,100.0,604.05,9.981,0.794
Lesotho,2334292328.0,1081.46,100.0,71.07,16.895,0.783
Liberia,3359738375.0,707.18,100.0,49.33,2.931,0.673
Libya,60618272915.0,9544.98,100.0,3.6,19.444,0.848
Lithuania,46498247747.0,16336.01,97.54,45.51,7.55,0.931
Luxembourg,64750252439.0,109835.26,72.5,228.78,6.018,0.921
Madagascar,12526995359.0,484.07,100.0,44.42,1.81,0.671
Malawi,8988390614.0,509.2,100.0,187.19,4.97,0.525
Malaysia,320127013151.0,10077.23,91.49,96.61,3.313,0.804
Maldives,4635921536.0,9990.31,0.0,1543.36,5.683,
Mali,14891848337.0,781.4,100.0,15.58,1.461,0.775
Malta,12886686260.0,27733.81,100.0,1447.69,4.433,0.93
Mauritania,6709823782.0,1631.63,100.0,3.98,10.298,0.81
Mauritius,13262662080.0,10489.69,100.0,633.09,6.85,0.885
Mexico,1157920175987.0,9479.97,99.68,62.83,3.715,0.828
Moldova,9138481153.0,3302.37,100.0,96.63,3.88,0.85
Mongolia,11865046425.0,3870.84,97.27,1.97,5.96,0.93
Montenegro,4698801082.0,7551.09,100.0,46.27,16.638,0.836
Morocco,116967120982.0,3263.34,100.0,79.12,9.306,0.614
Mozambique,13988113128.0,498.11,100.0,35.78,3.448,0.694
Myanmar,62982790883.0,1209.14,100.0,79.78,0.974,0.779
Namibia,12158588134.0,5180.38,100.0,2.85,21.445,0.846
Nepal,27742006222.0,988.01,100.0,195.61,10.55,0.792
Netherlands,824386570185.0,48238.07,99.67,507.37,5.388,0.92
New Zealand,196336439859.0,41209.2,0.12,18.08,4.908,0.958
Nicaragua,13213486462.0,2053.48,99.91,53.47,4.275,0.843
Niger,11019123210.0,515.01,100.0,16.85,0.538,0.647
Nigeria,423790193375.0,2223.01,100.0,209.86,4.606,0.773
North Macedonia,11181780517.0,5392.59,100.0,82.21,23.685,0.822
Norway,400162490196.0,76150.5,2.03,14.39,4.235,0.956
Oman,81550520156.0,18387.45,100.0,14.32,2.757,
Pakistan,319879952001.0,1484.91,100.0,279.1,3.83,0.641
Panama,60374092309.0,14848.46,77.02,54.78,4.934,0.895
Papua New Guinea,22333697775.0,2478.55,100.0,19.89,2.48,
Paraguay,37880875445.0,5999.86,99.33,15.88,5.16,0.919
Peru,203826518064.0,6483.1,99.97,24.54,3.548,0.819
Philippines,325098877659.0,3071.14,97.54,354.84,2.665,0.843
Poland,515139226233.0,13564.72,99.98,124.03,5.6,0.897
Portugal,217372802533.0,21073.77,19.4,112.62,9.845,0.889
Puerto Rico,103028950000.0,30778.62,7.34,377.64,10.95,
Qatar,164476553372.0,62780.98,100.0,228.2,0.143,
Romania,204158686178.0,10400.93,98.43,85.38,5.458,0.806
Russia,1467949161009.0,10006.4,91.71,8.81,5.298,0.91
Rwanda,9032133183.0,747.04,100.0,489.83,11.917,0.619
Samoa,857842024.0,4151.24,100.0,73.67,9.114,
São Tomé and Príncipe,362357406.0,1754.01,100.0,214.88,13.882,
Saudi Arabia,724265685299.0,21364.71,100.0,15.74,5.78,0.854
Senegal,20232085881.0,1349.58,100.0,77.7,4.718,0.756
Serbia,43792087507.0,6224.78,100.0,80.49,14.783,0.862
Seychelles,1491992152.0,15668.75,100.0,206.9,,
Sierra Leone,3979827105.0,525.21,100.0,105.11,3.779,0.642
Singapore,336792745812.0,60135.67,100.0,7873.79,3.928,0.898
Slovak Republic,95160368233.0,17506.48,100.0,113.04,8.955,0.931
Slovenia,47660302821.0,23051.57,99.59,102.64,7.158,0.926
Solomon Islands,1443166920.0,2266.29,99.97,22.72,0.709,
Somalia,5583500002.0,383.03,100.0,23.25,18.913,0.597
South Africa,363975749311.0,6430.74,100.0,46.63,23.775,0.871
South Sudan,11997800760.0,1071.78,100.0,17.14,12.276,0.558
Spain,1291164995927.0,27714.14,45.66,93.24,18.543,0.928
Sri Lanka,90505836652.0,4211.74,71.53,347.17,4.283,0.838
St. Lucia,1931611111.0,10924.74,100.0,289.79,19.539,
St. Vincent and the Grenadines,832306024.0,7866.97,100.0,271.33,18.999,
Sudan,87495137400.0,2199.84,100.0,21.44,17.49,
Suriname,4007884444.0,6864.24,100.0,3.75,7.746,
Sweden,529308143519.0,52972.8,3.6,24.52,6.875,0.922
Switzerland,700694253683.0,83357.64,56.98,212.74,4.808,0.936
Syria,16733301117.0,874.01,100.0,104.13,8.745,0.464
Tajikistan,7641312865.0,866.7,100.0,63.59,7.101,0.788
Tanzania,51858065732.0,964.88,100.0,62.46,2.167,0.702
Thailand,444443403296.0,6281.15,100.0,138.45,0.723,0.881
Timor-Leste,1601169800.0,1298.28,100.0,82.98,4.645,
Togo,6284447837.0,808.87,100.0,142.65,3.157,0.523
Tonga,451708222.0,4278.31,99.87,146.66,2.042,
Trinidad and Tobago,24617058032.0,16659.87,100.0,288.15,3.089,0.916
Tunisia,43747400066.0,3725.98,100.0,75.61,15.378,0.69
Turkey,842865551854.0,10362.76,100.0,105.75,10.698,0.864
Turkmenistan,37665214286.0,6361.86,100.0,12.59,4.155,0.946
Uganda,31315667973.0,794.29,100.0,196.82,3.286,0.745
Ukraine,106842107061.0,2511.82,100.0,77.51,9.198,0.888
United Arab Emirates,389274257999.0,43091.48,100.0,127.15,2.026,0.84
United Kingdom,2799039571258.0,42536.54,68.53,272.03,4.61,0.939
United States,19227881361000.0,59340.13,5.05,35.41,4.603,0.906
Uruguay,61342558968.0,17952.54,23.74,19.52,7.89,0.906
Uzbekistan,71821496083.0,2244.92,100.0,72.91,5.499,0.944
Vanuatu,826639807.0,2877.53,100.0,23.53,1.775,
Venezuela,,,99.95,34.48,5.367,0.899
Vietnam,271953610187.0,2903.81,100.0,298.55,1.683,0.852
Yemen,30552676660.0,1038.42,100.0,56.17,13.379,0.756
Zambia,23598684258.0,1382.2,100.0,22.92,7.556,0.73
Zimbabwe,23063189889.0,1573.35,100.0,37.75,6.035,0.758
