Dis No,Country,Region,Continent,Location,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs,Insured Damages,Total Damages
2015-0118-BGD,Bangladesh,Southern Asia,Asia,"Bogra, Rajshahi, Naogaon, Sirajganj, Pabna districts (Rajshahi province), Brahamanbaria district (Chittagong province), Dhaka districts (Dhaka province)",53.0,200.0,20000.0,,20200.0,,,4000.0
2015-0054-AFG,Afghanistan,Southern Asia,Asia,"Laghman, Nangarhar, Panjsher, Badakhshan, Bamyan provinces",254.0,,26425.0,6560.0,32985.0,,,3000.0
2015-0148-AUS,Australia,Australia and New Zealand,Oceania,"Dungog, Hunters Hill, Sydney districts (New South Wales province)",7.0,,1000.0,,1000.0,,730000.0,1300000.0
2015-0479-BHS,Bahamas (the),Caribbean,Americas,"Exuma, Long Island, Mayaguana, Rum Cay, San Salvador, Samana Cay, Crooked Isl., Ragged Islands (Administrative unit not available)",33.0,,6710.0,,6710.0,,61000.0,90000.0
2015-0090-AGO,Angola,Middle Africa,Africa,Luanda province,1.0,,2000.0,,2000.0,,,
2015-0023-ALB,Albania,Southern Europe,Europe,"Berat, Kucove, Skrapar provinces (Berat prefecture), Vlore, Delvine, Sarande provinces (Vlore prefecture), Fier, Lushnje, Mallakaster provinces (Fier prefecture) Elbasan, Gramsh, Librazhd, Peqin provinces (Elbasan prefecture) , Gjirokaster, Permet, Tepelene provinces (Gjirokaster prefecture)",,,42000.0,,42000.0,,,
2015-0253-BGD,Bangladesh,Southern Asia,Asia,"Bandarban, Chittagong, Cox's Bazar districts (Chittagong province)",20.0,20651.0,1381250.0,,1401901.0,,,40000.0
2015-0293-BGD,Bangladesh,Southern Asia,Asia,"Barisal district (Barisal province), Chittagong district (Chittagong province), Khulna district (Khulna province)",11.0,,10000.0,,10000.0,,,
2015-0346-BFA,Burkina Faso,Western Africa,Africa,"Ouagadougou, Kilwin areas (Kadiogo district, Centre province), Bobo-Dioulasso city (Houet district, Hauts-bassins province), Kenedougou, Tuy districts (Hauts-bassins province), Cascades province",8.0,54.0,28871.0,,28925.0,,,31000.0
2015-0151-AFG,Afghanistan,Southern Asia,Asia,"Geriy Bala village (Khwahan district, Badakhshan province), Abi Barik village (Argo district, Badakhshan province), Jawzjan, Faryab, Sar-e-Pul, Baghlan, Balkh provinces",52.0,,,500.0,500.0,,,
2015-0044-ARG,Argentina,South America,Americas,"Colon, Cruz del Eje, Punilla districts (Cordoba province)",8.0,,4500.0,,4500.0,,,17200.0
2015-0309-BGD,Bangladesh,Southern Asia,Asia,"Cox's Bazar, Chittagong, Noakhali, Feni, Bandarban districts (Chittagong province), Patuakhali, Bhola, Barguna districts (Barisla province)",45.0,,2600000.0,,2600000.0,,,40000.0
2015-0476-AFG,Afghanistan,Southern Asia,Asia,"Badakhshan, Baghlan, Ghazni, Kapisa, Khost, Kunar, Nangarhar, Paktya, Panjsher, Parwan, Takhar, Kunduz, Nuristan, Laghman, Kabul provinces",115.0,58080.0,,34645.0,92725.0,,,
2015-0571-AFG,Afghanistan,Southern Asia,Asia,"Ashkasham town (Eshkmesh district, Badakhshan province)",,12.0,,395.0,407.0,,,
2015-0581-AFG,Afghanistan,Southern Asia,Asia,Faryab province,7.0,10.0,,3000.0,3010.0,,,
2015-0058-AFG,Afghanistan,Southern Asia,Asia,Raghestan district (Badakhshan province),12.0,,50.0,,50.0,,,
2015-0059-AFG,Afghanistan,Southern Asia,Asia,Yamgan district,6.0,,100.0,,100.0,,,
2015-0075-AGO,Angola,Middle Africa,Africa,"Bengo, Cabinda, Cuanza Sul, Kuanza Norte, Luanda, Lunda Norte, Lunda Sul, Malanje, Uige, Zaire provinces",5.0,,,2000.0,2000.0,,,
2015-0091-AGO,Angola,Middle Africa,Africa,"Belas city (Viana district, Luanda province), Cacuaco district (Luanda province), Lobito district (Benguela province)",69.0,,1000.0,,1000.0,,,
2015-0579-AGO,Angola,Middle Africa,Africa,"Cabinda, Cuanza Sul, Huambo, Huila, Uige, Bengo, Benguela, Bie, Cuando Cubango, Luanda Norte, Cunene, Luanda, Lunda Norte, Lunda Sul, Malanje, Moxico, Namibe, Zaire provinces",384.0,4599.0,,,4599.0,,,
2015-0038-ALB,Albania,Southern Europe,Europe,"Fier, Vlore, Kukes provinces",,,,,,,,
2015-0542-ALB,Albania,Southern Europe,Europe,"Kukes, Has, Tropoje provinces (Kukes prefecture), Diber, Bulqize, Mat (Diber prefecture), Durres, Kruje provinces (Durres prefecture), Shkoder, Malesi E Madhe, Puke (Shkoder prefecture) (North); Gjirokaster, Permet, Tepelene (Gjirokaster prefecture) (South), Tirane province",1.0,,300.0,,300.0,,,
2015-0142-ARG,Argentina,South America,Americas,"San Carlos de Bariloche town (Bariloche district, Rio Negro province)",,,,,,,,
2015-0070-ARG,Argentina,South America,Americas,"Cordoba, San Luis, Santiago del Estero, Catamarca, Santa Fe, Chaco, Corrientes, Salta, Tucuman provinces",2.0,,15000.0,,15000.0,,,
2015-0349-ARG,Argentina,South America,Americas,"Santos Lugares municipality (Tres de Febrero district, Buenos Aires district), Mar del Plata city (General Pueyrredon district, Buenos Aires district) Lujan, San Antonio de Areco, Campana, Salto, Chacabuco, Chivilcoy, Pilar, Quilmes, La Plata, Berisso, Zarate, Mercedes, San Andres de Giles, Pergamino, Junin, Pila, Arrecifes districts (Buenos Aires province), Venado Tuerto city (General Lopez district, Santa Fe province)",3.0,,50000.0,,50000.0,,,
2015-0551-ARG,Argentina,South America,Americas,"Concordia city (Condordia district, Entre Rios province), Hernandarias city (Paraná district, Entre Rios proince), Gualeguaychú, Colón districts (Entre Rios province), Paso de la Patria, Santa Ana cities (San Cosme district, Corrientes province), Perugorria city (Curuzu Cuatia district, Corrientes province), Cruz de los Milagros, Algarrobo, San José, Santa Lucia cities (Lavalle district, Corrientes province), Esquina, Goya, Paso de los Libres districts (Corrientes province)",6.0,,76133.0,,76133.0,,,
2015-0576-AUS,Australia,Australia and New Zealand,Oceania,"Queensland, New South Wales provinces",6.0,,,,,,,400000.0
2015-0053-AUS,Australia,Australia and New Zealand,Oceania,"Northern Territory, Western Australia provinces",,,390.0,48.0,438.0,,,78000.0
2015-0079-AUS,Australia,Australia and New Zealand,Oceania,"Queensland, New South Wales provinces",1.0,,,6000.0,6000.0,,396000.0,546000.0
2015-0135-AUS,Australia,Australia and New Zealand,Oceania,"Carnarvon, Ashburton, Upper Gascoyne, Geraldton-Greenough, Irwin districts (Western Australia province)",,,600.0,,600.0,,49000.0,57000.0
2015-0560-AUS,Australia,Australia and New Zealand,Oceania,"Wye River, Separation Creek cities (Colac-Otway (S) district, Victoria province)",,,,348.0,348.0,,,100000.0
2015-0010-AUS,Australia,Australia and New Zealand,Oceania,"Sampson Flat city (Playford (C) district, South Australia province), Kersbrook (Adelaide Hills (DC) district, Mount Lofty Ranges, South Australia province)",,134.0,,,134.0,,45000.0,51000.0
2015-0514-AUS,Australia,Australia and New Zealand,Oceania,"Pinery, Balaklava cities (Wakefield (DC) district, North Mount Lofty Ranges, South Australia province), Roseworthy city (Light (RegC) district, South Australia province)",2.0,30.0,,105.0,135.0,,120000.0,200000.0
2015-0109-BDI,Burundi,Eastern Africa,Africa,"Rutunga river (Muhuta district, Bujumbura rural province)",11.0,,,2870.0,2870.0,,,
2015-0578-BDI,Burundi,Eastern Africa,Africa,Mutimbuzi district (Bujumbura Rural province),52.0,,4179.0,,4179.0,,,13000.0
2015-0410-BEL,Belgium,Western Europe,Europe,"Vlaams Gewest, Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne provinces",410.0,,,,,,,
2015-0213-BGD,Bangladesh,Southern Asia,Asia,"Sunamganj district (Sylhet province), Jamalpur, Sherpur, Mymensingh districts (Dhaka province), Gaibandha, Dinajpur districts (Rangpur province), Bagerhat district (Khulna province)",13.0,,,,,,,
2015-0601-BGD,Bangladesh,Southern Asia,Asia,Dinajpur,6.0,50.0,40000.0,,40050.0,,,
2015-0144-BGD,Bangladesh,Southern Asia,Asia,"Savar area (Dhaka district, Dhaka province), Narayanganj, Gazipur, Gopalganj districts (Dhaka province), Sunamganj district (Sylhet province), Comilla, Feni districts (Chittagong province), Habiganj district (Sylhet province), Gangachara area (Rangpur district, Rangpur province), Gaibandha district (Rangpur province), Rajshahi, Naogaon, Bogra, Pabna districts (Rajshahi province)",4.0,200.0,,,200.0,,,
2015-0411-BGD,Bangladesh,Southern Asia,Asia,"Lalkhan Bazar area (Chittagong district, Chittagong province)",7.0,3.0,1000.0,,1003.0,,,
2015-0038-BGR,Bulgaria,Eastern Europe,Europe,"Blagoevgrad, Petrich districts (Blagoevgrad province), Burgas district (Burgas province), Smoljan, Devin districts (Smoljan province), Dalgopol, Avren districts (Varna province), Topolovgrad district (Haskovo province), Strazhitca district (Veliko Tarnovo province), Boljarovo district (Jambol province), Vurshetc district (Montana province), Dobrich, Kardzhali provinces",5.0,,,,,,,5800.0
2015-0465-BIH,Bosnia and Herzegovina,Southern Europe,Europe,"Bosanska Dubica district (Knezica village, Kozarska Dubica town and municipality), Prijedor district, Bosanski Novi district(Novi Grad city, Kostajnica city), Bosanska Gradiska district (Gradiska city) (Republika Srpska province), Unsko-sanski district (Bihac city) (Federacija Bosne I Hercegovine province)",,,,,,,,
2015-0511-BLZ,Belize,Central America,Americas,"Belize city (Belize province), Orange walk, Corozal provinces",,,20000.0,,20000.0,,,
2016-0175-BGD,Bangladesh,Southern Asia,Asia,"Barisal; Noakhali, Lakshmipur, Chandpur (Chittagong); Cox’s Bazar, Bhola, Barguna, Patuakhali",28.0,,1083855.0,119700.0,1203555.0,,,600000.0
2016-0112-AFG,Afghanistan,Southern Asia,Asia,"Daykundi, Ghazni, Uruzgan provinces",30.0,,,,,,,
2016-0191-AFG,Afghanistan,Southern Asia,Asia,"Badakhshan (Tashkan, Baharak, Darayem, Shahada districts)",6.0,,,,,,,
2016-0201-AUS,Australia,Australia and New Zealand,Oceania,"New South Wales, Queensland, Tasmania provinces",5.0,,,,,,310000.0,500000.0
2016-0211-BEL,Belgium,Western Europe,Europe,"Manage village (Mons region, Hainaut district, Region wallonne province), Jodoigne city (Brabant wallon district, Region wallonne province), Brussels airport, Atomium monument (Area without administrative 2nd division, Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes province)",1.0,,,,,,,
2016-0355-BHS,Bahamas (the),Caribbean,Americas,"New Providence, Nassau",,,,,,,,600000.0
2016-0154-BGD,Bangladesh,Southern Asia,Asia,"Dhaka (Jatrabarhi’s Konaparha), Rajshahi (Mohanpur, Durgapur, Gogagarhi), Sirajgani (Raiganj, Ullaparha), Pabna (Sujanagar, Berha), Rajbari, Kishoreganj (Hossainpur, Tarhail, Bajitpur), Brahmanbarhia (Sarail, Banchharampur), Gazipur (Kapasia), Bogra (Sherpur), Natore (Lalpur), Habiganj (Baniachong), Naogaon (Atrai), Nilphamari (Kishoreganj)",59.0,,,,,,,
2016-0135-AFG,Afghanistan,Southern Asia,Asia,"Baghlan, Daykundi, Samangan, Takhar, Badghis provinces",31.0,,,,,,,
2016-0309-AFG,Afghanistan,Southern Asia,Asia,"Yaqubi, Haroonkhel districts (Khost city); Zazai Maidan district",17.0,,,,,,,
2016-0056-AGO,Angola,Middle Africa,Africa,"Lubango city (Lubango district, Huila province)",54.0,,,,,,,
2016-0088-AGO,Angola,Middle Africa,Africa,"Sumbe district (Cuanza Sul province), Cacolo, Dala, Saurimo districts (Lunda Sul province)",6.0,,,2755.0,2755.0,,,
2016-0131-AGO,Angola,Middle Africa,Africa,"Viana, Cacuaco, Belas (Viana), Cazenga and urban districts of Ingombota, Kilamba Kiaxi, Rangel, Maianga (Luanda), Ceramina, Mateba, Paraiso, Augusto Ngangula municiplalities",23.0,,3200.0,2400.0,5600.0,,,
2016-0247-AGO,Angola,Middle Africa,Africa,"Cuanza Sul, Lunda Sul provinces",30.0,,1544.0,,1544.0,,,
2016-0420-ALB,Albania,Southern Europe,Europe,"Vlora, Fier provinces, Klos district (Mat province), Kelcyre district (Permet province), Tirane district (Tirane province)",2.0,,4500.0,,4500.0,,,
2016-0127-ARG,Argentina,South America,Americas,"Entre Rios, Corrientes, Santa Fe, Chaco, Formosa, Santiago del Estero, Buenos Aires, Cardoba provinces",,,72119.0,,72119.0,,50000.0,1000000.0
2016-0482-ARM,Armenia,Western Asia,Asia,"Karchaghbyur city (Vardanis district, Gegharqunik province), Artik city (Artik district, Shirak province)",,,750.0,,750.0,,,
2016-0014-AUS,Australia,Australia and New Zealand,Oceania,"Yarloop, Cookernup areas (Harvey (S) district, Western Australia province), Hamel, Waroona areas (Waroona (S) district, Western Australia province)",2.0,,,540.0,540.0,,50000.0,110000.0
2016-0515-AUS,Australia,Australia and New Zealand,Oceania,,,2016.0,,,2016.0,,,
2016-0428-AUS,Australia,Australia and New Zealand,Oceania,"Victoria, South Australia provinces",1.0,,280.0,,280.0,,,25000.0
2016-0179-AUT,Austria,Western Europe,Europe,"Salzburg province, Braunau am Inn district (Oberosterreich province)",,,,,,,,
2016-0460-BDI,Burundi,Eastern Africa,Africa,"Bujumbura Rural, Kabezi District, Cibitoke",1.0,193.0,,,193.0,,,
2016-0179-BEL,Belgium,Western Europe,Europe,"Harsin area (Nassogne commune, Luxembourg district, Region wallonne province)",1.0,,,,,,,
2016-0448-BEN,Benin,Western Africa,Africa,"Cotonou, Savalou, So-Ava, Abomey-Calavi, Dassa, Abomey-Zou, Parakou, Ze",13.0,678.0,,,678.0,,,
2016-0287-BFA,Burkina Faso,Western Africa,Africa,"Arr.3 (Zogo, Watinoma, sector 12 and 13), Arr. 4, Arr. 7 (Sondogo), Arr.8 (Bissighin), Arr. 10, Tanghlin Dassouri Arr. (Ouagadougou city, Kadiogo district, Centre province), Boucle du Mouhoun, Cascades, Centre-nord, Centre-ouest, Est, Hauts-bassins, Nord, Sahel provinces",15.0,35.0,27826.0,7032.0,34893.0,,,
2016-0002-BGD,Bangladesh,Southern Asia,Asia,"Dhaka, Jamalpur districts (Dhaka province), Rajshahi district (Rajshahi province), Lalmonirhat, Panchagarh districts (Rangpur province)",5.0,70.0,,,70.0,,,
2016-0288-BGD,Bangladesh,Southern Asia,Asia,"Kurigram, Bogra, Sirajganj, Gaibandha, Tangail, Jamalpur, Nilphamari, Lalmonirhat, Sunamganj, Faridpur, Kustia,Madaripur, Manikganj, Rajbari, Rangpur, Sariatpur districts",106.0,,1900000.0,,1900000.0,,,150000.0
2016-0284-BLZ,Belize,Central America,Americas,"San Pedro, Caye Caulker, Belize city, Ladyville, (Belize province), Orange Walk province, Belmopan (Cayo province)",,,10355.0,,10355.0,,,
2015-0248-CHN,China,Eastern Asia,Asia,"Hunan Sheng, Guizhou Sheng, Hubei Sheng, Gansu Sheng, Zhejiang Sheng, Anhui Sheng, Fujian Sheng, Jiangxi Sheng, Chongqing Shi, Sichuan Sheng provinces",16.0,,60000.0,,60000.0,,,2000000.0
2015-0457-CHN,China,Eastern Asia,Asia,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hainan Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng provinces",14.0,,15000.0,,15000.0,,,
2015-0318-MKD,Macedonia (the former Yugoslav Republic of),Southern Europe,Europe,"Sipkotvitsa, Dzepciste district (Tetovo province); Mala Rechitsa, Golema Rechitsa, Poroj villages, Tetovo city (Tetovo district, Tetovo province)",7.0,30.0,5000.0,,5030.0,,,87000.0
2015-0375-DMA,Dominica,Caribbean,Americas,"Petite Savanne, Pichelin villages (St. Patrick province), Good Hope, Petite Soufriere villages (St. David province), Bath Estate village (St. George province), Dubique village (St. Andrew province), Campbell village (St. Paul province), Coulibistrie village (St. Joseph province)",30.0,20.0,28000.0,574.0,28594.0,,,482810.0
2015-0126-IND,India,Southern Asia,Asia,"Gujarat, Punjab, Himachal Pradresh, Haryana, Maharashtra, Bihar, Uttar Pradesh, Madhya Pradesh, Rajasthan, Jammu and Kashmir, Uttarakhand, West Bengal provinces",27.0,,,,,,106000.0,906000.0
2015-0261-JPN,Japan,Eastern Asia,Asia,"Aiti, Akita, Aomori, Gifu, Gunma, Hirosima, Hukui, Hukusima, Hyoogo, Ibaraki, Iwate, Kanagawa, Kyooto, Mie, Miyagi, Nagano, Nara, Niigata, Okayama, Okinawa, Oosaka, Saitama, Siga, Simane, Sizuoka, Tiba, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi, Ehime, Kagawa, Kooti, Tokusima provinces",2.0,56.0,789.0,,845.0,,127000.0,207000.0
2015-0016-MDG,Madagascar,Eastern Africa,Africa,"Ambatondrazaka district (Alaotra Mangoro province), Ambatofinandrahana district (Amoron I Mania province), Ambohidratrimo, Andramasina, Ankazobe, Antananarivo Avaradrano, Antananarivo Atsimondrano, Antananarivo I, Antananarivo II, Antananarivo III, Antananarivo IV, Antananarivo V; Antananarivo VI districts (Analamanga province), Maevatanana district (Betsiboka province), Ambato Boeni, Mahajanga II districts (Boeny province), Tsiroanomandidy district (Bongolava province), Ambanja district (Diana province), Ambalavao, Ambohimahasoa, Fianarantsoa I, Vohibato, Lalangina districts (Haute Matsiatra province), Soavinandriana district (Itasy province), Besalampy district (Melaky province), Belo Sur Tsiribihina, Mahabo, Miandrivazo, Morondava districts (Menabe province), Mampikony district (Sofia province) Farafangana, Vangaindrano, Vondrozo districts (Atsimo Atsinanana province), Antanifotsy distrcit (Vakinankaratra province), Ikongo, Manakara Atsimo, Mananjary, Nosy-Varika, Vohipeno districts (Vatovavy Fitovianny)",89.0,37.0,,173970.0,174007.0,,,36000.0
2015-0121-MEX,Mexico,Central America,Americas,"Acuna district (Coahuila province), Veracruz, Oaxaca provinces",14.0,229.0,1242.0,,1471.0,,,2000.0
2015-0214-CHN,China,Eastern Asia,Asia,"Yunnan Sheng, Sichuan Sheng, Guizhou Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Guangdong Sheng, Jiangxi Sheng, Anhui Sheng, Hubei Sheng, Shandong Sheng provinces",7.0,,76200.0,3600.0,79800.0,,,461000.0
2015-0251-CHN,China,Eastern Asia,Asia,"Gansu Sheng, Heilongjiang Sheng, Nei Mongol Zizhiqu, Ningxia Huizu Zizhiqu, Qinghai Sheng, Shaanxi Sheng provinces",,,300.0,,300.0,,,145000.0
2015-0011-MWI,Malawi,Eastern Africa,Africa,"Nsanje, Chikwawa, Phalombe, Blantyre, Zomba, Thyolo, Mulanje, Chiradzulu, Machinga, Mangochi, Balaka districts (Southern Region province), Ntcheu, Salima, Lilongwe districts (Central Region province), Karonga, Rumphi districts (Northern Region province)",278.0,645.0,638000.0,,638645.0,,,390000.0
2015-0338-CHL,Chile,South America,Americas,"Valparaiso, Antofagasta, Libertador Gral. Bernardo O'higgins, Coquimbo provinces",6.0,4.0,934.0,,938.0,,,
2015-0226-NPL,Nepal,Southern Asia,Asia,"Taplejung area (Mechi district, Eastern province)",36.0,18.0,,,18.0,,,
2015-0145-PAK,Pakistan,Southern Asia,Asia,"Peshawar district, North-West Frontier province",49.0,267.0,4800.0,,5067.0,,,1000.0
2015-0163-CHN,China,Eastern Asia,Asia,"Guizhou Sheng, Shanxi Sheng, Shaanxi Sheng, Gansu Sheng provinces",2.0,,10000.0,,10000.0,,,250000.0
2015-0605-EGY,Egypt,Northern Africa,Africa,Alexandria province,6.0,,,,,,,100000.0
2015-0081-ITA,Italy,Southern Europe,Europe,"Milano district (Lombardia province), Toscane, Liguria, Abruzzi, Umbria, Marche, Puglia, Campania, Emilia-Romagna provinces",3.0,,,,,,276000.0,869000.0
2015-9411-IDN,Indonesia,South-Eastern Asia,Asia,"Lani Jaya (Jayawijaya district, Papua province), Puncakjaya district (Papua province)",11.0,,,,,,,
2015-0529-MNG,Mongolia,Eastern Asia,Asia,"Arxangai, Bayan-O'lgii, Bulgan, Xo'vsgol, Selenge, To'v, Uvs, Zavxan provinces",,,965000.0,,965000.0,,,
2015-0131-CHN,China,Eastern Asia,Asia,"Guizhou Sheng, Henan Sheng, Shanxi Sheng, Jiangxi Sheng, Chongqing Shi, Sichuan Sheng, Shaanxi Sheng provinces",34.0,148.0,5000.0,,5148.0,,,225000.0
2015-0106-CHL,Chile,South America,Americas,"Atacama, Antofagasta, Coquimbo provinces",178.0,,164140.0,29741.0,193881.0,,500000.0,1500000.0
2015-0185-CHN,China,Eastern Asia,Asia,"Hukengzhen village (Anfu area, Ji'an district, Jiangxi Sheng province), Leishan Xian area (Qiandongnan Miao and Dong district, Guizhou Sheng province), Ganzhou Shi area (Ganzhou district, Jiangxi Sheng province), Guiyang district (Guizhou Sheng province), Fujian Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Guangdong Sheng, Jiangsu Sheng, Sichuan Sheng, Yunnan Sheng, Hubei Sheng, Anhui Sheng, Chongqing Shi, Zhejiang Sheng provinces",58.0,,82000.0,,82000.0,,,800000.0
2015-0397-CHN,China,Eastern Asia,Asia,"Sichuan Sheng, Chongqing Shi, Guizhou Sheng, Yunnan Sheng provinces",41.0,,77440.0,,77440.0,,,220000.0
2015-0231-CIV,Côte d’Ivoire,Western Africa,Africa,"Attecoube, Adjame areas (Abidjan district, District autonome de Abidjan province)",16.0,,,,,,,
2015-0086-COL,Colombia,South America,Americas,"Santafe de Bogota D.c. district (Cundinamarca province), Cali district (Valle del Cauca province); Bucaramanga, Betulia districts (Santander Province)",,1.0,40835.0,400.0,41236.0,,,
2015-0237-CRI,Costa Rica,Central America,Americas,"Sarapiqui district (Heredia province); San Carlos district (Alajuela province); Turrialba district (Cartago province); Pococi, Talamanca districts (Limon province)",,,9666.0,,9666.0,,,
2015-0114-ECU,Ecuador,South America,Americas,"Santo Domingo district (Santo Domino de los Tsachilas province), Santa Rosa district (El Oro province), Chillanes district (Bolivar province), Pichincha, Los Rios, Esmeraldas, Napo provinces",12.0,,1185.0,,1185.0,,,
2015-0227-GEO,Georgia,Western Asia,Asia,"Vake and Saburtalo boroughs (Tbilissi district, Tbilisi province)",40.0,,10320.0,,10320.0,,,23000.0
2015-0107-IND,India,Southern Asia,Asia,"Chadoora village (72811 district, Jammu and Kashmir province)",44.0,25.0,,2097.0,2122.0,,,76000.0
2015-0253-IND,India,Southern Asia,Asia,"Mirik, Kalimpong, Darjeeling villages (Darjiling district, West Bengal province),",40.0,,,1000.0,1000.0,,,
2015-0317-IND,India,Southern Asia,Asia,"Kachchh, Patan, Banas Kantha districts (Gujarat province), Malda, Jalpaiguri districts (West Bengal province), Jorhat, Dhemaji, Lakhimpur, Dhuburi, Darrang, Goalpara, Karbi Anglong, Marigaon districts (Assam province), Manipur, Orissa, Rajasthan, Madhya Pradesh provinces",293.0,,13709887.0,,13709887.0,,,
2015-0333-IND,India,Southern Asia,Asia,"Rajasthan, Uttar Pradesh, Jammu and Kashmir, Arunachal Pradesh, Uttarakhand, Punjab, Haryana, Himachal Pradesh provinces",25.0,,,,,,,
2015-0413-IND,India,Southern Asia,Asia,"Sonitpur, Lakhimpur, Kokrajhar, Dhemaji districts (Assam province), Arunachal Pradesh province",,,85250.0,,85250.0,,,
2015-0465-ITA,Italy,Southern Europe,Europe,"L'Aquila district (Abruzzi province), Tivoli city (Roma district, Lazio province), Frosinone district (Lazio province); Benevento (Campania region); Palermo, Messina, Trapani districts (Sicilia province)",4.0,,50.0,,50.0,,,163000.0
2015-0418-JPN,Japan,Eastern Asia,Asia,"Joso city (Mitukaidoosi district, Ibaraki province), Miyagi, Totigi provinces",21.0,46.0,45000.0,,45046.0,,650000.0,1400000.0
2015-0460-LAO,Lao People's Democratic Republic (the),South-Eastern Asia,Asia,Nan district (Louangphabang province),4.0,,95.0,45.0,140.0,,,
2015-0547-LKA,Sri Lanka,Southern Asia,Asia,Southern province,8.0,9.0,7300.0,,7309.0,,,
2015-0253-MMR,Myanmar,South-Eastern Asia,Asia,"Buthidaung, Thandwe districts (Rakhine province), Taninthayi, Kayin, Ayeyawaddy, Bago (E), Bago (W) provinces",7.0,,14000.0,,14000.0,,,
2015-0308-MMR,Myanmar,South-Eastern Asia,Asia,"Mandalay, Rakhine, Chin, Sagaing, Kachin, Kayin, Shan (E), Magway, Mon, Ayeyarwady, Bago (West) provinces",149.0,,1621703.0,,1621703.0,,,119000.0
2015-0216-MYS,Malaysia,South-Eastern Asia,Asia,Ranau district (Sabah province),24.0,10.0,,,10.0,,,2.0
2015-0021-MYS,Malaysia,South-Eastern Asia,Asia,Sarawak province,1.0,,3000.0,,3000.0,,,
2015-0144-NPL,Nepal,Southern Asia,Asia,"Gorkha area (Gandaki district, Western province), Dolakha, Ramechhap areas (Janakpur district, Central province), Bagmati district (Central province)",8831.0,17932.0,5621790.0,,5639722.0,,100000.0,5174000.0
2015-0175-NPL,Nepal,Southern Asia,Asia,"Kathmandu, Sindhupalchok areas (Bagmati district, Central province), Dolakha area (Janakpur district, Central province)",138.0,2428.0,,,2428.0,,,
2015-0435-CHL,Chile,South America,Americas,"Araucania, Atacama, Biobio, Coquimbo, Libertador Gral. Bernardo O’Higgins, Maule, Metropolitana, Valparaiso provinces",19.0,15.0,681484.0,,681499.0,,350000.0,800000.0
2015-0129-IDN,Indonesia,South-Eastern Asia,Asia,Indramayu district (Java Barat province),,,8000.0,,8000.0,,,
2015-0162-CHN,China,Eastern Asia,Asia,"Yunnan Sheng, Sichuan Sheng, Guizhou Sheng, Guangxi Zhuangzu Zizhiqu provinces",1.0,,25000.0,,25000.0,,,130000.0
2015-0164-IND,India,Southern Asia,Asia,"Purnia, Madhepura, Madhubani, Supaul, Sitamarhi districts (Bihar province)",100.0,100.0,125000.0,,125100.0,,,160000.0
2015-0285-BRA,Brazil,South America,Americas,"Parana, Santa Catarina provinces, Rio Grande do Sul province",3.0,,283140.0,,283140.0,,,
2015-0168-CUB,Cuba,Caribbean,Americas,Havana,3.0,,10089.0,,10089.0,,,
2015-0132-CHN,China,Eastern Asia,Asia,"Xinjiang Uygur Zizhiqu, Xizang Zizhiqu provinces",,,5000.0,,5000.0,,,108000.0
2015-9372-COL,Colombia,South America,Americas,"Caldas, Tolima, Quindio, Huila, Boyaca, Valle Del Cauca, Santander, Narino, Caqueta, Risaralda, Guajira, Atlantico, Magdalena, Bolivar, Arauca, Casanare provinces",,,,,,,,
2015-0352-CAF,Central African Republic,Middle Africa,Africa,Berbérati district (Mambéré-Kadéï province),1.0,7.0,1109.0,,1116.0,,,
2015-0105-CHN,China,Eastern Asia,Asia,"Hunan Sheng, Jiangxi Sheng provinces",6.0,,12000.0,,12000.0,,,209000.0
2015-0252-CHN,China,Eastern Asia,Asia,Hainan Sheng province,,,193000.0,,193000.0,,,11000.0
2015-0339-CHN,China,Eastern Asia,Asia,"Zheijiang Sheng, Fujian Sheng, Jiangxi Sheng, Anhui Sheng provinces",18.0,,1580000.0,,1580000.0,,,1282690.0
2015-0171-COL,Colombia,South America,Americas,"Salgar city (Antioquia), Amazonas province",93.0,48.0,,300.0,348.0,,,
2015-0606-EGY,Egypt,Northern Africa,Africa,"Behera, Kafr El-Shikh, North Sinai, Matrouh, Menoufia, Alexandria provinces",25.0,35.0,100.0,,135.0,,,
2015-0525-GBR,United Kingdom of Great Britain and Northern Ireland (the),Northern Europe,Europe,"Lancashire, Cumbria district (England province); Kendal, Keswick, Appleby cities (Cumbria district) Hexham (Northumberland district) (England province)",3.0,,15600.0,,15600.0,,884000.0,1200000.0
2015-0375-HTI,Haiti,Caribbean,Americas,"Ganthier village (Croix-Des-Bouquets district, Sud province), Port-au-Prince district (Ouest province), Gonaïves district (Artibonite province)",5.0,3.0,,1966.0,1969.0,,,
2015-0525-IRL,Ireland,Northern Europe,Europe,Monaghan province,1.0,,,,,,,
