Dis No,Country,Region,Continent,Location,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs,Insured Damages,Total Damages
2017-0051-MOZ,Mozambique,Eastern Africa,Africa,"Vilankulo, Massinga, Maxixe, Jangamo, Morrumbene Inhambane City, Funhalouro, Homoine, Jangamo, Inharrime, Panda, Zavala (Inhambane province); Chibuto, Guja, Chokwe distrcits (Gaza province)",7.0,102.0,750000.0,,750102.0,,,17000.0
2017-0380-MRT,Mauritania,Western Africa,Africa,"Boghé, Brakna region, Kiffa, Assaba region",18.0,40.0,2000.0,,2040.0,,,
2017-0256-NPL,Nepal,Southern Asia,Asia,"Parbat, Kaski, Pyuthan, Syangja, Saptari, Mugu, Sindhuli districts (Paunwatole Rayapur of Rupani Rural Municipality)",11.0,,7500.0,,7500.0,,,
2017-0381-PRI,Puerto Rico,Caribbean,Americas,North. Culebra and Vieques Islands,2.0,,,,,,,
2017-0415-RWA,Rwanda,Eastern Africa,Africa,"Rusizi, Nyamasheke, Huye, Bugesera, Gicumbi, Ngoma, Kirehe, Rubavu, Nyabihu",3.0,24.0,5850.0,,5874.0,,,
2017-0381-TCA,Turks and Caicos Islands (the),Caribbean,Americas,"South Caicos, Salt Cay, Grand Turks, Provo (Five keys)",,,,,,,14900.0,500000.0
2017-0406-THA,Thailand,South-Eastern Asia,Asia,"Uthai Thani, Phitsanulok, Phrae, Chaiyaphum, Chiang Rai, Kalasin, Lampang, Loei, Phangnga, Phetchabun, Sakon Nakhon, Satun, Uttaradit",,,28500.0,,28500.0,,,
2017-9343-MRT,Mauritania,Western Africa,Africa,"Brakna, Gorgol, Guidimakha",,,3893774.0,,3893774.0,,,
2017-9208-NER,Niger (the),Western Africa,Africa,"Bosso, Diffa, Goudoumaria, Mainé-Soroa, N’Gourti, Loga, Ouallam, Bani-Bangou, Abala, Mayahi, Guidan-Roumji, Tanout, Kaniche",,,1131300.0,,1131300.0,,,
2017-9342-TCD,Chad,Middle Africa,Africa,"Chari Baguimi, Guera, Lac, Kanem, Wadi Fira",,,1886800.0,,1886800.0,,,
2017-0015-ITA,Italy,Southern Europe,Europe,"Avezzano, Campotosto, Montereale, Capitignano, Ortolano di Campoposto, Mopolino (L’Aquila); Csatel Castagna, Csatigkione Messer Raimondo, Prati di Tivo (Teramao); Abruzzo (Pescara), Lazio (Rieti), Marche (Ascoli Piceno, Macerata, Fermo, Ancona) region",29.0,11.0,,,11.0,,6000.0,18000.0
2017-0010-GRC,Greece,Southern Europe,Europe,Aegean Islands,,,,,,,,
2017-0010-MKD,Macedonia (the former Yugoslav Republic of),Southern Europe,Europe,"Skopje, Negotino, Kavadarci, Kumanovo, Bitola, Gostivar, Kriva Palanka, Debar, Sveti Nikole, Struga, Stip, Ohrid provinces, Makedonski Brod district (Brod province), Kivecho (?)",3.0,,2220.0,,2220.0,,,
2017-0417-ESP,Spain,Southern Europe,Europe,"Galicia (Nigrán, Carballeda de Avia, Vigo), Asturias",4.0,,,,,,,
2017-0320-FRA,France,Western Europe,Europe,Haute-Loire Department (Le Brignon),1.0,,160.0,,160.0,,,
2017-0086-FRA,France,Western Europe,Europe,"Brittany, Provence, Sud Ouest (Brive), Alpes du Sud, Centre et Sud-Est.",2.0,11.0,,,11.0,,341000.0,100000.0
2017-0292-FRA,France,Western Europe,Europe,"Near Bormes-les-Mimosas (Var- cote d'Azur); Haute-Corse, Vaucluse, Var, Alpes-Maritimes",,12.0,12000.0,,12012.0,,,
2017-0490-GBR,United Kingdom of Great Britain and Northern Ireland (the),Northern Europe,Europe,"Galgate (Lancashire) ,Lancaster, Appleby-in-Westmorland (Cumbria), Craven ( North Yorkshire), Llangefni, Conwy (Anglesey-Gwynedd)",,,70.0,,70.0,,,
2017-0083-GHA,Ghana,Western Africa,Africa,Brong Ahafo province,20.0,12.0,,,12.0,,,
2017-0306-GHA,Ghana,Western Africa,Africa,"Greater Accra (Weija, Tetegu - Ga South municipality), Central Region (New Tufoe, Old Praso, Kookoase, Twansukoda, Arab Area, Bankyease - Twifo Praso), Western region (Samreboi, Wassa Dunkwa, Aboi Nkwanta Samreboi communities -Wassa Amenfi West District), Eastern region (Ahiatroga community- Birim central)",,,1000000.0,,1000000.0,,,
2017-0053-GIN,Guinea,Western Africa,Africa,"Nzérékoré, Gueckedou, Matoto, Ratoma, Fria, Dubreka, Kindia, Coyah, Kaloum, Dixinn, Forécariah, Matam",,122.0,,,122.0,,,
2017-0304-GIN,Guinea,Western Africa,Africa,"Quartier commercial, Kwitiapolou, Wessoua, Dorota 1, Horaya, Gbanghana, Belle-Vue, Nyeh (Nzerekore prefecture)",,13.0,3274.0,,3287.0,,,
2017-0382-GTM,Guatemala,Central America,Americas,"Huehuetenango, Quetzaltenango, Quiché, San Marcos, Suchitepéquez, Totonicapan",,2.0,3518.0,81.0,3601.0,,,
2017-0196-GTM,Guatemala,Central America,Americas,Santa Marta and Santa Odilia (Nuevo Concepcion) San Francisco (Tiquisate),1.0,,160.0,,160.0,,,
2017-0190-GTM,Guatemala,Central America,Americas,near San Pedro Soloma,11.0,,,,,,,
